subject,predicate,object,category
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Denis_Alva_Parsons,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Alfred_Barye,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Alfred_Tibor,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Alice_Maher,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Alice_Rideout,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Alison_Turnbull,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Allan_Linder,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Allen_Hutchinson,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Allie_Tennant,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Alojz_Rigele,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Andrei_Kolkoutine,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/András_Beck,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Poznań,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Queens_Museum_of_Art,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/San_Francisco_Museum_of_Modern_Art,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Museum_of_Modern_Art_(Ljubljana),sculptor
